No.,Channel Name,Receive Frequency,Transmit Frequency,Channel Type,Transmit Power,Band Width,CTCSS/DCS Decode,CTCSS/DCS Encode,Contact,Contact Call Type,Contact TG/DMR ID,Radio ID,Busy Lock/TX Permit,Squelch Mode,Optional Signal,DTMF ID,2Tone ID,5Tone ID,PTT ID,RX Color Code,Slot,Scan List,Receive Group List,PTT Prohibit,Reverse,Simplex TDMA,Slot Suit,AES Digital Encryption,Digital Encryption,Call Confirmation,Talk Around(Simplex),Work Alone,Custom CTCSS,2TONE Decode,Ranging,Through Mode,APRS RX,Analog APRS PTT Mode,Digital APRS PTT Mode,APRS Report Type,Digital APRS Report Channel,Correct Frequency[Hz],SMS Confirmation,Exclude channel from roaming,DMR MODE,DataACK Disable,R5toneBot,R5ToneEot,Auto Scan,Ana Aprs Mute,Send Talker Alias,AnaAprsTxPath,ARC4,ex_emg_kind,TxCC
1,AD9B.MIN TS1,927.9875,902.9875,D-Digital,Turbo,12.5K,Off,Off,Simplex,Group Call,99,,Always,Carrier,Off,1,1,1,Off,14,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,1,Off,Off,Off,Off,Off,Off,1,1,Off,0,1,0,0,0,0,0,0,0,0,0,14
2,AD9B.MIN TS2,927.9875,902.9875,D-Digital,Turbo,12.5K,Off,Off,Simplex,Group Call,99,,Always,Carrier,Off,1,1,1,Off,14,2,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,1,Off,Off,Off,Off,Off,Off,1,1,Off,0,1,0,0,0,0,0,0,0,0,0,14
3,KA0KMJ.BRO TS1,442.8500,447.8500,D-Digital,Turbo,12.5K,Off,Off,Simplex,Group Call,99,,Always,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,1,Off,Off,Off,Off,Off,Off,1,1,Off,0,1,0,0,0,0,0,0,0,0,0,1
4,KA0KMJ.BRO TS2,442.8500,447.8500,D-Digital,Turbo,12.5K,Off,Off,Simplex,Group Call,99,,Always,Carrier,Off,1,1,1,Off,1,2,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,1,Off,Off,Off,Off,Off,Off,1,1,Off,0,1,0,0,0,0,0,0,0,0,0,1
5,KC0NPA.WES TS1,4.4255,4.4255,D-Digital,Turbo,12.5K,Off,Off,Simplex,Group Call,99,,Always,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,1,Off,Off,Off,Off,Off,Off,1,1,Off,0,1,0,0,0,0,0,0,0,0,0,1
6,KC0NPA.WES TS2,4.4255,4.4255,D-Digital,Turbo,12.5K,Off,Off,Simplex,Group Call,99,,Always,Carrier,Off,1,1,1,Off,1,2,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,1,Off,Off,Off,Off,Off,Off,1,1,Off,0,1,0,0,0,0,0,0,0,0,0,1
7,N0BVE.BUR TS1,443.1250,448.1250,D-Digital,Turbo,12.5K,Off,Off,Simplex,Group Call,99,,Always,Carrier,Off,1,1,1,Off,11,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,1,Off,Off,Off,Off,Off,Off,1,1,Off,0,1,0,0,0,0,0,0,0,0,0,11
8,N0BVE.BUR TS2,443.1250,448.1250,D-Digital,Turbo,12.5K,Off,Off,Simplex,Group Call,99,,Always,Carrier,Off,1,1,1,Off,11,2,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,1,Off,Off,Off,Off,Off,Off,1,1,Off,0,1,0,0,0,0,0,0,0,0,0,11
9,N0BVE.RIV TS1,442.6500,447.6500,D-Digital,Turbo,12.5K,Off,Off,Simplex,Group Call,99,,Always,Carrier,Off,1,1,1,Off,2,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,1,Off,Off,Off,Off,Off,Off,1,1,Off,0,1,0,0,0,0,0,0,0,0,0,2
10,N0BVE.RIV TS2,442.6500,447.6500,D-Digital,Turbo,12.5K,Off,Off,Simplex,Group Call,99,,Always,Carrier,Off,1,1,1,Off,2,2,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,1,Off,Off,Off,Off,Off,Off,1,1,Off,0,1,0,0,0,0,0,0,0,0,0,2
